hgnc_symbol,gene_biotype,ensembl_gene_id,GO_category,kegg,Cluster,Core,DEG
PIGU,protein_coding,ENSG00000101464,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
VAPA,protein_coding,ENSG00000101558,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
RNMT,protein_coding,ENSG00000101654,No enriched GO,No_kegg,AD_cluster1,core,non DEG
PSMD10,protein_coding,ENSG00000101843,Apoptosis,No_kegg,AD_cluster1,non core,non DEG
PGRMC1,protein_coding,ENSG00000101856,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PRPS2,protein_coding,ENSG00000101911,Mitochondrial energy production,No_kegg,AD_cluster1,core,non DEG
XIAP,protein_coding,ENSG00000101966,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SYP,protein_coding,ENSG00000102003,Synapse signaling,No_kegg,AD_cluster1,non core,Down-regulated
FMR1,protein_coding,ENSG00000102081,Synapse signaling,No_kegg,AD_cluster1,non core,non DEG
PGK1,protein_coding,ENSG00000102144,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
SMS,protein_coding,ENSG00000102172,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ARMCX3,protein_coding,ENSG00000102401,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TSC22D1,protein_coding,ENSG00000102804,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ARL2BP,protein_coding,ENSG00000102931,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
POLR2C,protein_coding,ENSG00000102978,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PSMD7,protein_coding,ENSG00000103035,No enriched GO,kegg,AD_cluster1,non core,non DEG
VAC14,protein_coding,ENSG00000103043,Synapse signaling,No_kegg,AD_cluster1,non core,non DEG
WDR59,protein_coding,ENSG00000103091,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
NPRL3,protein_coding,ENSG00000103148,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
HSDL1,protein_coding,ENSG00000103160,No enriched GO,No_kegg,AD_cluster1,core,non DEG
AAGAB,protein_coding,ENSG00000103591,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
BLOC1S6,protein_coding,ENSG00000104164,Synapse signaling,No_kegg,AD_cluster1,core,non DEG
BPNT2,protein_coding,ENSG00000104331,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
IKBKB,protein_coding,ENSG00000104365,No enriched GO,kegg,AD_cluster1,non core,non DEG
STMN2,protein_coding,ENSG00000104435,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SH2D4A,protein_coding,ENSG00000104611,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
LEPROTL1,protein_coding,ENSG00000104660,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
DCTN6,protein_coding,ENSG00000104671,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
MCM4,protein_coding,ENSG00000104738,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
BNIP3L,protein_coding,ENSG00000104765,"Apoptosis,intracellular trafficking,Others",No_kegg,AD_cluster1,non core,non DEG
PDCD5,protein_coding,ENSG00000105185,"Apoptosis,Others",No_kegg,AD_cluster1,non core,non DEG
CARD8,protein_coding,ENSG00000105483,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
MTPN,protein_coding,ENSG00000105887,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CHCHD2,protein_coding,ENSG00000106153,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
AP1S1,protein_coding,ENSG00000106367,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CEP41,protein_coding,ENSG00000106477,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PTGR1,protein_coding,ENSG00000106853,No enriched GO,No_kegg,AD_cluster1,core,non DEG
FBXW4,protein_coding,ENSG00000107829,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
NPM3,protein_coding,ENSG00000107833,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SUFU,protein_coding,ENSG00000107882,No enriched GO,No_kegg,AD_cluster1,core,non DEG
MTMR4,protein_coding,ENSG00000108389,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TRIM37,protein_coding,ENSG00000108395,No enriched GO,No_kegg,AD_cluster1,core,non DEG
TUBD1,protein_coding,ENSG00000108423,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
C1QBP,protein_coding,ENSG00000108561,gene expression,No_kegg,AD_cluster1,non core,non DEG
C17orf75,protein_coding,ENSG00000108666,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PRKAR1A,protein_coding,ENSG00000108946,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TMEM97,protein_coding,ENSG00000109084,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TMEM33,protein_coding,ENSG00000109133,"intracellular trafficking,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
OCIAD1,protein_coding,ENSG00000109180,No enriched GO,No_kegg,AD_cluster1,core,non DEG
LAMTOR3,protein_coding,ENSG00000109270,No enriched GO,No_kegg,AD_cluster1,core,non DEG
NDUFC1,protein_coding,ENSG00000109390,Mitochondrial energy production,kegg,AD_cluster1,non core,non DEG
SIAE,protein_coding,ENSG00000110013,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PUS3,protein_coding,ENSG00000110060,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PANX1,protein_coding,ENSG00000110218,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CEP164,protein_coding,ENSG00000110274,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
C11orf58,protein_coding,ENSG00000110696,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TSPAN11,protein_coding,ENSG00000110900,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TPI1,protein_coding,ENSG00000111669,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
ENO2,protein_coding,ENSG00000111674,Mitochondrial energy production,No_kegg,AD_cluster1,non core,Down-regulated
LPCAT3,protein_coding,ENSG00000111684,"intracellular trafficking,Synapse signaling",No_kegg,AD_cluster1,non core,non DEG
GOLT1B,protein_coding,ENSG00000111711,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CMAS,protein_coding,ENSG00000111726,No enriched GO,No_kegg,AD_cluster1,core,Down-regulated
DSE,protein_coding,ENSG00000111817,No enriched GO,No_kegg,AD_cluster1,core,non DEG
PAK1IP1,protein_coding,ENSG00000111845,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SERINC1,protein_coding,ENSG00000111897,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
OPRM1,protein_coding,ENSG00000112038,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
FBXO9,protein_coding,ENSG00000112146,No enriched GO,No_kegg,AD_cluster1,core,non DEG
CD83,protein_coding,ENSG00000112149,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
ZBTB24,protein_coding,ENSG00000112365,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
BICRAL,protein_coding,ENSG00000112624,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
COX7A2,protein_coding,ENSG00000112695,Mitochondrial energy production,kegg,AD_cluster1,non core,Down-regulated
TMEM30A,protein_coding,ENSG00000112697,No enriched GO,No_kegg,AD_cluster1,core,non DEG
ENPP5,protein_coding,ENSG00000112796,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
HMGCS1,protein_coding,ENSG00000112972,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
MRPS30,protein_coding,ENSG00000112996,gene expression,No_kegg,AD_cluster1,core,non DEG
SUB1,protein_coding,ENSG00000113387,No enriched GO,No_kegg,AD_cluster1,core,Down-regulated
RAD1,protein_coding,ENSG00000113456,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
GNPDA1,protein_coding,ENSG00000113552,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
SKP1,protein_coding,ENSG00000113558,intracellular trafficking,No_kegg,AD_cluster1,core,non DEG
PPP2CA,protein_coding,ENSG00000113575,No enriched GO,No_kegg,AD_cluster1,core,non DEG
TRIM23,protein_coding,ENSG00000113595,No enriched GO,No_kegg,AD_cluster1,core,non DEG
RARS1,protein_coding,ENSG00000113643,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
FAM162A,protein_coding,ENSG00000114023,Apoptosis,No_kegg,AD_cluster1,non core,Down-regulated
CEP15,protein_coding,ENSG00000114405,No enriched GO,No_kegg,AD_cluster1,core,non DEG
ATP6V1A,protein_coding,ENSG00000114573,"intracellular trafficking,Mitochondrial energy production,Synapse signaling",No_kegg,AD_cluster1,core,non DEG
EIF1B,protein_coding,ENSG00000114784,No enriched GO,No_kegg,AD_cluster1,core,non DEG
TP53I3,protein_coding,ENSG00000115129,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
RTN4,protein_coding,ENSG00000115310,"intracellular trafficking,Synapse signaling",kegg,AD_cluster1,non core,non DEG
COQ10B,protein_coding,ENSG00000115520,Mitochondrial energy production,No_kegg,AD_cluster1,core,non DEG
MOB4,protein_coding,ENSG00000115540,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
STK16,protein_coding,ENSG00000115661,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PLEKHB2,protein_coding,ENSG00000115762,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
QPCT,protein_coding,ENSG00000115828,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PCYOX1,protein_coding,ENSG00000116005,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SUMO1,protein_coding,ENSG00000116030,No enriched GO,No_kegg,AD_cluster1,core,non DEG
FAM20B,protein_coding,ENSG00000116199,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ATP5PB,protein_coding,ENSG00000116459,Mitochondrial energy production,kegg,AD_cluster1,non core,non DEG
BCAS2,protein_coding,ENSG00000116752,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
EXOC8,protein_coding,ENSG00000116903,intracellular trafficking,No_kegg,AD_cluster1,core,non DEG
LGALS8,protein_coding,ENSG00000116977,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
HPCAL4,protein_coding,ENSG00000116983,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SDHB,protein_coding,ENSG00000117118,Mitochondrial energy production,kegg,AD_cluster1,non core,non DEG
RGS4,protein_coding,ENSG00000117152,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
KLHL12,protein_coding,ENSG00000117153,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
RBBP5,protein_coding,ENSG00000117222,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ATP6V0B,protein_coding,ENSG00000117410,"intracellular trafficking,Mitochondrial energy production",No_kegg,AD_cluster1,non core,non DEG
DR1,protein_coding,ENSG00000117505,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
VAMP4,protein_coding,ENSG00000117533,Synapse signaling,No_kegg,AD_cluster1,non core,non DEG
UTP25,protein_coding,ENSG00000117597,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ARID1A,protein_coding,ENSG00000117713,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
RNF146,protein_coding,ENSG00000118518,intracellular trafficking,No_kegg,AD_cluster1,non core,non DEG
MYL12B,protein_coding,ENSG00000118680,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
NDUFB3,protein_coding,ENSG00000119013,Mitochondrial energy production,kegg,AD_cluster1,non core,non DEG
RAB14,protein_coding,ENSG00000119396,No enriched GO,No_kegg,AD_cluster1,core,non DEG
TRIM32,protein_coding,ENSG00000119401,intracellular trafficking,No_kegg,AD_cluster1,non core,non DEG
RBM18,protein_coding,ENSG00000119446,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
FKBP1B,protein_coding,ENSG00000119782,No enriched GO,No_kegg,AD_cluster1,non core,Down-regulated
YPEL5,protein_coding,ENSG00000119801,No enriched GO,No_kegg,AD_cluster1,core,non DEG
AFTPH,protein_coding,ENSG00000119844,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
LGALSL,protein_coding,ENSG00000119862,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
LRP11,protein_coding,ENSG00000120256,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
PCMT1,protein_coding,ENSG00000120265,No enriched GO,No_kegg,AD_cluster1,core,non DEG
ACAT2,protein_coding,ENSG00000120437,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ENY2,protein_coding,ENSG00000120533,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
KBTBD7,protein_coding,ENSG00000120696,intracellular trafficking,No_kegg,AD_cluster1,non core,non DEG
ARL1,protein_coding,ENSG00000120805,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
COIL,protein_coding,ENSG00000121058,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ECHDC2,protein_coding,ENSG00000121310,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
FABP3,protein_coding,ENSG00000121769,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CBX3,protein_coding,ENSG00000122565,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
CLTA,protein_coding,ENSG00000122705,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
NUDT10,protein_coding,ENSG00000122824,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
CISD1,protein_coding,ENSG00000122873,Mitochondrial energy production,No_kegg,AD_cluster1,core,non DEG
RNF11,protein_coding,ENSG00000123091,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
SPRYD7,protein_coding,ENSG00000123178,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
IKZF4,protein_coding,ENSG00000123411,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
NDUFAF4,protein_coding,ENSG00000123545,Mitochondrial energy production,No_kegg,AD_cluster1,non core,non DEG
MORF4L2,protein_coding,ENSG00000123562,No enriched GO,No_kegg,AD_cluster1,core,non DEG
FAM199X,protein_coding,ENSG00000123575,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ACSL3,protein_coding,ENSG00000123983,Mitochondrial energy production,No_kegg,AD_cluster1,core,non DEG
VAPB,protein_coding,ENSG00000124164,"intracellular trafficking,Synapse signaling",No_kegg,AD_cluster1,non core,non DEG
SNRNP27,protein_coding,ENSG00000124380,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
TBCC,protein_coding,ENSG00000124659,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
MAD2L1BP,protein_coding,ENSG00000124688,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
GLO1,protein_coding,ENSG00000124767,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
RAP2A,protein_coding,ENSG00000125249,No enriched GO,No_kegg,AD_cluster1,core,non DEG
NDUFA1,protein_coding,ENSG00000125356,Mitochondrial energy production,kegg,AD_cluster1,non core,Down-regulated
FAM193A,protein_coding,ENSG00000125386,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
NAPB,protein_coding,ENSG00000125814,Synapse signaling,No_kegg,AD_cluster1,core,non DEG
TMX4,protein_coding,ENSG00000125827,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
DSTN,protein_coding,ENSG00000125868,No enriched GO,No_kegg,AD_cluster1,core,non DEG
SNRPB2,protein_coding,ENSG00000125870,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
ARMCX5,protein_coding,ENSG00000125962,No enriched GO,No_kegg,AD_cluster1,non core,non DEG
